property_id,property_name,property_types,listed_date,updated_date,bedrooms,bathrooms,land_area,floor_area,floor_level,completion_year,facing,price,address,commune,district,city,amenities
240206,"1 Bed, 1 Bath Condo for Sale in BKK 1",Condo,6/2/2024,1/3/2024,1.0,1.0,,61.0,9.0,2024,,213500.0,"BKK 1, Chamkarmon, Phnom Penh",BKK 1,Chamkarmon,Phnom Penh,"Car Parking, Commercial area, Lift / Elevator, Non-Flooding, Swimming Pool"
239619,"3 Bed, 4 Bath Villa for Sale in Spean Thma",Villa,17/01/2024,13/06/2024,3.0,4.0,308.0,175.0,3.0,2024,S,162000.0,"Spean Thma, Dangkao, Phnom Penh",Spean Thma,Dangkao,Phnom Penh,"Car Parking, Non-Flooding"
236155,"1 Bed, 1 Bath Condo for Sale in Urban Village Phase 2",Condo,11/9/2023,11/6/2024,1.0,1.0,,54.0,30.0,2024,S/W,98000.0,"Chak Angrae Leu, Meanchey, Phnom Penh",Chak Angrae Leu,Meanchey,Phnom Penh,"Car Parking, Commercial area, Common Area, Garden, Gym/Fitness Center, Lift / Elevator, Non-Flooding, On main road, Playground, Sports Facilities, Swimming Pool, Backup Electricity / Generator"
142696,"2 Bed, 2 Bath Condo for Sale in PS Crystal Condominium",Condo,28/07/2020,13/03/2024,2.0,2.0,,107.0,7.0,2024,E,145000.0,"Boeung Tumpun, Meanchey, Phnom Penh",Boeung Tumpun,Meanchey,Phnom Penh,"Car Parking, Common Area, Garden, Gym/Fitness Center, Jacuzzi, Lift / Elevator, Non-Flooding, Playground, Sauna, Sports Facilities, Swimming Pool, Backup Electricity / Generator"
232517,1 Bath Condo for Sale in Boeung Kak 1,Condo,9/6/2023,5/7/2024,,1.0,,40.0,6.0,2024,S,53000.0,"Boeung Kak 1, Toul Kork, Phnom Penh",Boeung Kak 1,Toul Kork,Phnom Penh,"Commercial area, Lift / Elevator, Non-Flooding, On main road"
232350,"2 Bed, 1 Bath Condo for Sale in Urban Village Phase 1",Condo,5/6/2023,17/12/2024,2.0,1.0,,70.0,9.0,2020,E/S,90000.0,"Blvd. Samdach Hun Sen, Chak Angrae Leu, Meanchey, Phnom Penh",Chak Angrae Leu,Meanchey,Phnom Penh,"Lift / Elevator, Non-Flooding, On main road, Swimming Pool, Backup Electricity / Generator"
231424,"3 Bed, 5 Bath Penthouse for Sale in Ream",Penthouse,22/05/2023,13/03/2024,3.0,5.0,,703.0,17.0,2020,,1150000.0,"Ream, Prey Nob, Sihanoukville",Ream,Prey Nob,Sihanoukville,"Car Parking, Garden, Gym/Fitness Center, Lift / Elevator, Non-Flooding, Playground, Swimming Pool, Backup Electricity / Generator"
222182,"1 Bed, 1 Bath Condo for Sale in Tuek Thla",Condo,22/11/2022,29/01/2024,1.0,1.0,,,,2020,S,85000.0,"Tuek Thla, Sen Sok, Phnom Penh",Tuek Thla,Sen Sok,Phnom Penh,"Car Parking, Commercial area, Common Area, Garden, Gym/Fitness Center, Lift / Elevator, Non-Flooding, Playground, Sports Facilities, Swimming Pool, Backup Electricity / Generator"
195289,Land for Sale in Sangkat Muoy,Land/Development,31/10/2021,10/12/2024,,,1029.0,,,2020,,236000.0,"Phum 2, Sangkat Muoy, Sihanoukville, Sihanoukville",Sangkat Muoy,Sihanoukville,Sihanoukville,
247931,"4 Bed, 5 Bath Twin Villa for Sale in Preaek Lieb",Twin Villa,9/1/2025,9/1/2025,4.0,5.0,,,,2020,S,170000.0,"Preaek Lieb, Chroy Changvar, Phnom Penh",Preaek Lieb,Chroy Changvar,Phnom Penh,
247920,"8 Bed, 9 Bath Villa for Sale in Chrang Chamres I",Villa,9/1/2025,9/1/2025,8.0,9.0,,,,2020,,425000.0,"Chrang Chamres I, Russey Keo, Phnom Penh",Chrang Chamres I,Russey Keo,Phnom Penh,Car Parking
247905,"1 Bed, 1 Bath Serviced Apartment for Sale in Toul Svay Prey 1",ServicedApartment,8/1/2025,8/1/2025,1.0,1.0,,40.0,8.0,2020,,73000.0,"Toul Svay Prey 1, Chamkarmon, Phnom Penh",Toul Svay Prey 1,Chamkarmon,Phnom Penh,
247901,"1 Bed, 1 Bath Apartment for Sale in Chroy Changvar",Apartment,8/1/2025,8/1/2025,1.0,1.0,,63.0,9.0,2020,,70000.0,"Chroy Changvar, Chroy Changvar, Phnom Penh",Chroy Changvar,Chroy Changvar,Phnom Penh,
247895,"3 Bed, 4 Bath Flat for Sale in Toul Tum Poung 1",Flat,8/1/2025,8/1/2025,3.0,4.0,,,2.0,2020,,430000.0,"Toul Tum Poung 1, Chamkarmon, Phnom Penh",Toul Tum Poung 1,Chamkarmon,Phnom Penh,
247892,"1 Bed, 1 Bath Condo for Sale in Mekong View Tower 2",Condo,8/1/2025,9/1/2025,1.0,1.0,,63.0,8.0,2020,,70000.0,"Chroy Changvar, Chroy Changvar, Phnom Penh",Chroy Changvar,Chroy Changvar,Phnom Penh,"Car Parking, Commercial area, Gym/Fitness Center, Lift / Elevator, Non-Flooding, Swimming Pool"
