property_id,price,listed_date,updated_date,land_area,floor_area,bedrooms,bathrooms,location_id
property_110,449000.0,date_1,date_36,875.0,,3.0,3.0,location_36
property_111,290000.0,date_42,date_28,169.0,216.0,4.0,5.0,location_3
property_112,420000.0,date_42,date_24,198.0,216.0,4.0,5.0,location_38
property_113,290000.0,date_42,date_31,171.0,216.0,4.0,5.0,location_38
property_114,258000.0,date_42,date_31,172.0,216.0,4.0,5.0,location_38
property_115,120000.0,date_42,date_42,,,3.0,3.0,location_44
property_116,220000.0,date_42,date_42,,,3.0,4.0,location_6
property_117,115000.0,date_43,date_23,,77.0,2.0,2.0,location_8
property_118,360000.0,date_43,date_23,308.0,,,,location_12
property_119,160000.0,date_43,date_42,,45.0,2.0,1.0,location_1
property_120,84500.0,date_43,date_43,,30.0,1.0,1.0,location_10
property_121,1180000.0,date_43,date_43,,,6.0,9.0,location_28
property_122,600000.0,date_44,date_293,320.0,432.0,8.0,10.0,location_3
property_123,2800000.0,date_44,date_293,1052.0,909.0,7.0,9.0,location_3
property_124,2900000.0,date_44,date_293,1820.0,1039.0,7.0,9.0,location_45
property_125,330000.0,date_44,date_24,192.0,270.0,5.0,6.0,location_6
property_126,258000.0,date_44,date_293,182.0,216.0,4.0,5.0,location_38
property_127,160000.0,date_44,date_41,,91.0,3.0,2.0,location_38
property_128,320000.0,date_45,date_43,,,4.0,5.0,location_28
property_129,1200000.0,date_45,date_45,1082.0,,,,location_46
property_130,250000.0,date_45,date_45,109.0,,5.0,6.0,location_47
property_131,750000.0,date_45,date_34,216.0,480.0,4.0,4.0,location_5
property_132,189000.0,date_46,date_46,,,4.0,5.0,location_45
property_133,210000.0,date_47,date_2,,91.0,2.0,2.0,location_10
property_134,1100000.0,date_48,date_46,,,6.0,6.0,location_48
property_135,130000.0,date_48,date_2,,,3.0,4.0,location_48
property_136,64000.0,date_48,date_48,,62.0,1.0,1.0,location_19
property_137,2000000.0,date_49,date_49,,,7.0,9.0,location_6
property_138,120000.0,date_49,date_44,12778.0,,,,location_49
property_139,50000.0,date_50,date_50,190.0,,,,location_50
property_140,326745.0,date_51,date_51,,193.0,2.0,2.0,location_1
property_141,350000.0,date_51,date_51,,,4.0,5.0,location_38
property_142,1536000.0,date_51,date_51,480.0,,,,location_13
property_143,260000.0,date_52,date_49,210.0,,4.0,4.0,location_11
property_144,220000.0,date_53,date_49,2588.0,,,,location_51
property_145,474815.0,date_53,date_48,8633.0,,,,location_51
property_146,360000.0,date_54,date_51,,261.0,3.0,4.0,location_10
property_147,255000.0,date_55,date_37,150.0,216.0,4.0,6.0,location_28
property_148,330000.0,date_55,date_55,,75.0,2.0,2.0,location_10
property_149,165000.0,date_55,date_40,,120.0,3.0,3.0,location_19
property_150,65900.0,date_56,date_49,,38.0,,1.0,location_52
property_151,58000.0,date_56,date_44,67.0,,4.0,5.0,location_53
property_152,130000.0,date_57,date_37,,80.0,1.0,2.0,location_34
property_153,6308000.0,date_57,date_39,1577.0,,,,location_28
property_154,328900.0,date_57,date_51,,75.0,2.0,2.0,location_10
property_155,210000.0,date_57,date_44,,55.0,1.0,1.0,location_10
property_156,149000.0,date_57,date_44,,34.0,1.0,1.0,location_10
property_157,55000.0,date_58,date_23,,47.0,1.0,1.0,location_42
property_158,320000.0,date_3,date_40,,,6.0,7.0,location_16
property_159,74620.0,date_3,date_40,533.0,,,,location_54
property_160,464100.0,date_3,date_40,3094.0,,,,location_54
property_161,311250.0,date_3,date_40,2075.0,,,,location_54
property_162,70000.0,date_3,date_40,,,4.0,5.0,location_54
property_163,360000.0,date_59,date_56,176.0,216.0,4.0,5.0,location_45
property_164,130000.0,date_59,date_59,85.0,197.0,3.0,4.0,location_25
property_165,92000.0,date_59,date_52,115.0,162.0,4.0,5.0,location_53
property_166,58000.0,date_59,date_52,67.0,151.0,4.0,5.0,location_53
property_167,60000.0,date_4,date_56,,32.0,1.0,1.0,location_55
property_168,900000.0,date_4,date_59,158.0,,,,location_34
property_169,499000.0,date_4,date_46,150.0,,2.0,2.0,location_56
property_170,370000.0,date_4,date_53,,166.0,3.0,3.0,location_10
property_171,265000.0,date_4,date_45,176.0,216.0,4.0,5.0,location_45
property_172,300000.0,date_4,date_46,187.0,216.0,4.0,5.0,location_45
property_173,310000.0,date_4,date_46,187.0,216.0,4.0,5.0,location_45
property_174,1524600.0,date_60,date_4,,,,,location_57
property_175,75000.0,date_61,date_61,,36.0,1.0,1.0,location_31
property_176,104000.0,date_61,date_61,,40.0,,,location_1
property_177,2037600.0,date_61,date_4,1698.0,,,,location_37
property_178,62000.0,date_61,date_61,,53.0,2.0,1.0,location_12
property_179,75000.0,date_61,date_61,85.0,,2.0,3.0,location_58
property_180,190000.0,date_62,date_61,,111.0,3.0,2.0,location_22
property_181,1920000.0,date_62,date_62,860.0,596.0,5.0,6.0,location_6
property_182,3680000.0,date_63,date_62,1150.0,,,,location_28
property_183,5000000.0,date_64,date_61,2520.0,,10.0,12.0,location_54
property_184,74000.0,date_64,date_40,,35.0,1.0,1.0,location_13
property_185,2200000.0,date_64,date_4,759.0,,,,location_31
property_186,147000.0,date_65,date_62,22317.0,,,,location_59
property_187,490000.0,date_66,date_36,,,4.0,4.0,location_28
property_188,1663200.0,date_67,date_294,924.0,,,,location_28
property_189,210000.0,date_68,date_66,86.0,269.0,6.0,6.0,location_60
property_190,49999.0,date_69,date_2,,112.0,3.0,2.0,location_61
property_191,140000.0,date_69,date_295,75.0,107.0,2.0,2.0,location_23
property_192,110000.0,date_70,date_296,,32.0,,1.0,location_55
property_193,123000.0,date_70,date_62,,42.0,1.0,1.0,location_1
property_194,252735.0,date_70,date_294,2407.0,,,,location_62
property_195,110000.0,date_70,date_36,79.0,207.0,3.0,4.0,location_11
property_196,78000.0,date_70,date_297,,50.0,2.0,1.0,location_31
property_197,299900.0,date_71,date_64,127.0,146.0,3.0,2.0,location_24
property_198,73400.0,date_71,date_71,,49.0,1.0,1.0,location_19
property_199,3300000.0,date_71,date_64,1807.0,1039.0,7.0,9.0,location_45
property_200,215000.0,date_72,date_66,117.0,264.0,5.0,6.0,location_3
property_201,180000.0,date_72,date_71,94.0,216.0,4.0,5.0,location_63
