amenity_id,property_id,amenity_name
amenity_10,property_1053,Backup Electricity / Generator
No_amenities,property_1054,No amenities
amenity_1,property_1055,Car Parking
amenity_2,property_1055,Commercial area
amenity_7,property_1055,Garden
amenity_8,property_1055,Gym/Fitness Center
amenity_3,property_1055,Lift / Elevator
amenity_9,property_1055,Non-Flooding
amenity_5,property_1055,Swimming Pool
amenity_1,property_1056,Car Parking
amenity_2,property_1056,Commercial area
amenity_9,property_1056,Non-Flooding
amenity_1,property_1057,Car Parking
amenity_2,property_1057,Commercial area
amenity_9,property_1057,Non-Flooding
No_amenities,property_1058,No amenities
No_amenities,property_1059,No amenities
No_amenities,property_1060,No amenities
No_amenities,property_1061,No amenities
amenity_1,property_1062,Car Parking
amenity_8,property_1062,Gym/Fitness Center
amenity_3,property_1062,Lift / Elevator
amenity_9,property_1062,Non-Flooding
amenity_5,property_1062,Swimming Pool
amenity_10,property_1062,Backup Electricity / Generator
No_amenities,property_1063,No amenities
No_amenities,property_1064,No amenities
No_amenities,property_1065,No amenities
No_amenities,property_1066,No amenities
amenity_1,property_1067,Car Parking
amenity_8,property_1067,Gym/Fitness Center
amenity_3,property_1067,Lift / Elevator
amenity_9,property_1067,Non-Flooding
amenity_5,property_1067,Swimming Pool
amenity_10,property_1067,Backup Electricity / Generator
No_amenities,property_1068,No amenities
amenity_1,property_1069,Car Parking
amenity_2,property_1069,Commercial area
amenity_7,property_1069,Garden
amenity_8,property_1069,Gym/Fitness Center
amenity_3,property_1069,Lift / Elevator
amenity_9,property_1069,Non-Flooding
amenity_11,property_1069,Playground
amenity_5,property_1069,Swimming Pool
amenity_10,property_1069,Backup Electricity / Generator
amenity_1,property_1070,Car Parking
amenity_2,property_1070,Commercial area
amenity_8,property_1070,Gym/Fitness Center
amenity_3,property_1070,Lift / Elevator
amenity_9,property_1070,Non-Flooding
amenity_4,property_1070,On main road
amenity_11,property_1070,Playground
amenity_5,property_1070,Swimming Pool
amenity_10,property_1070,Backup Electricity / Generator
No_amenities,property_1071,No amenities
No_amenities,property_1072,No amenities
amenity_1,property_1073,Car Parking
amenity_2,property_1073,Commercial area
amenity_8,property_1073,Gym/Fitness Center
amenity_3,property_1073,Lift / Elevator
amenity_5,property_1073,Swimming Pool
amenity_10,property_1073,Backup Electricity / Generator
No_amenities,property_1074,No amenities
No_amenities,property_1075,No amenities
No_amenities,property_1076,No amenities
No_amenities,property_1077,No amenities
amenity_1,property_1078,Car Parking
amenity_2,property_1078,Commercial area
amenity_7,property_1078,Garden
amenity_8,property_1078,Gym/Fitness Center
amenity_3,property_1078,Lift / Elevator
amenity_9,property_1078,Non-Flooding
amenity_11,property_1078,Playground
amenity_5,property_1078,Swimming Pool
amenity_10,property_1078,Backup Electricity / Generator
amenity_1,property_1079,Car Parking
amenity_2,property_1079,Commercial area
amenity_6,property_1079,Common Area
amenity_7,property_1079,Garden
amenity_8,property_1079,Gym/Fitness Center
amenity_3,property_1079,Lift / Elevator
amenity_9,property_1079,Non-Flooding
amenity_11,property_1079,Playground
amenity_14,property_1079,Sauna
amenity_12,property_1079,Sports Facilities
amenity_5,property_1079,Swimming Pool
amenity_10,property_1079,Backup Electricity / Generator
amenity_1,property_1080,Car Parking
amenity_2,property_1080,Commercial area
amenity_7,property_1080,Garden
amenity_8,property_1080,Gym/Fitness Center
amenity_3,property_1080,Lift / Elevator
amenity_9,property_1080,Non-Flooding
amenity_11,property_1080,Playground
amenity_5,property_1080,Swimming Pool
amenity_10,property_1080,Backup Electricity / Generator
No_amenities,property_1081,No amenities
amenity_1,property_1082,Car Parking
amenity_8,property_1082,Gym/Fitness Center
amenity_3,property_1082,Lift / Elevator
amenity_9,property_1082,Non-Flooding
amenity_5,property_1082,Swimming Pool
amenity_10,property_1082,Backup Electricity / Generator
