property_id,property_name,property_types,listed_date,updated_date,bedrooms,bathrooms,land_area,floor_area,floor_level,completion_year,facing,price,address,commune,district,city,amenities
245263,"3 Bed, 3 Bath Villa for Sale in Svay Chrum",Villa,23/08/2024,10/9/2024,3,3,78,83,N/A,2022,N/A,"$63,000 ","Svay Chrum, Khsach Kandal, Kandal",Svay Chrum,Khsach Kandal,Kandal,"Car Parking, Non-Flooding"
245257,"3 Bed, 3 Bath House for Sale in Toul Svay Prey 1",House,23/08/2024,9/9/2024,3,3,86,180,N/A,2022,S,"$299,900 ","Toul Svay Prey 1, Chamkarmon, Phnom Penh",Toul Svay Prey 1,Chamkarmon,Phnom Penh,"Commercial area, Non-Flooding"
245255,"5 Bed, 3 Bath Shophouse for Sale in BKK 3",Shophouse,23/08/2024,9/9/2024,5,3,150,1141,N/A,2022,S,"$1,200,000 ","BKK 3, Chamkarmon, Phnom Penh",BKK 3,Chamkarmon,Phnom Penh,"Commercial area, Non-Flooding"
245253,"4 Bed, 3 Bath House for Sale in BKK 3",House,23/08/2024,9/9/2024,4,3,92,192,N/A,2022,N,"$310,000 ","BKK 3, Chamkarmon, Phnom Penh",BKK 3,Chamkarmon,Phnom Penh,"Commercial area, Non-Flooding"
245244,Land for Sale in Kouk Khleang,Land/Development,23/08/2024,23/08/2024,N/A,N/A,N/A,N/A,N/A,2022,N/A,"$40,000,000 ","Kouk Khleang, Sen Sok, Phnom Penh",Kouk Khleang,Sen Sok,Phnom Penh,
245234,"5 Bed, 4 Bath Flat House for Sale in Toul Tum Poung 2",Retreat,22/08/2024,7/9/2024,5,4,90,192,N/A,2022,N/A,"$320,000 ","Toul Tum Poung 2, Chamkarmon, Phnom Penh",Toul Tum Poung 2,Chamkarmon,Phnom Penh,"Commercial area, Non-Flooding"
245231,"3 Bed, 3 Bath Villa for Sale in Svay Chrum",Villa,22/08/2024,8/9/2024,3,3,108,83,N/A,2022,N/A,"$68,000 ","Svay Chrum, Khsach Kandal, Kandal",Svay Chrum,Khsach Kandal,Kandal,"Car Parking, Non-Flooding"
245230,"3 Bed, 3 Bath Villa for Sale in Svay Chrum",Villa,22/08/2024,8/9/2024,3,3,78,83,N/A,2022,N/A,"$48,000 ","Svay Chrum, Khsach Kandal, Kandal",Svay Chrum,Khsach Kandal,Kandal,"Car Parking, Commercial area, Non-Flooding"
245229,"3 Bed, 3 Bath Villa for Sale in Svay Chrum",Villa,22/08/2024,8/9/2024,3,3,78,83,N/A,2022,N/A,"$72,000 ","Svay Chrum, Khsach Kandal, Kandal",Svay Chrum,Khsach Kandal,Kandal,"Car Parking, Non-Flooding"
245227,"6 Bed, 6 Bath Flat House for Sale in Nirouth",Retreat,22/08/2024,8/9/2024,6,6,63,159,N/A,2022,N,"$145,000 ","Nirouth, Chbar Ampov, Phnom Penh",Nirouth,Chbar Ampov,Phnom Penh,"Car Parking, Commercial area, Non-Flooding"
245226,"6 Bed, 4 Bath Villa for Sale in Nirouth",Villa,22/08/2024,8/9/2024,6,4,270,378,N/A,2022,S,"$380,000 ","Nirouth, Chbar Ampov, Phnom Penh",Nirouth,Chbar Ampov,Phnom Penh,"Car Parking, Commercial area, Non-Flooding"
245225,"4 Bed, 5 Bath Flat House for Sale in Nirouth",Retreat,22/08/2024,8/9/2024,4,5,88,201,N/A,2022,N,"$102,000 ","Nirouth, Chbar Ampov, Phnom Penh",Nirouth,Chbar Ampov,Phnom Penh,"Car Parking, Commercial area, Non-Flooding"
243217,7 Bed Villa for Sale & Rent in Woodland Residences,Villa,3/6/2024,22/08/2024,7,N/A,N/A,N/A,3,2019,N/A,"$550,000 ","60m Samdach Hun Sen, Chak Angrae Kraom, Meanchey, Phnom Penh",Chak Angrae Kraom,Meanchey,Phnom Penh,"Car Parking, Commercial area, Non-Flooding"
245192,"7 Bed, 9 Bath Villa for Sale in Borey Peng Huoth: The Star Platinum Eco Delta",Villa,21/08/2024,6/9/2024,7,9,526,588,N/A,2019,S,"$1,250,000 ","Veal Sbov, Chbar Ampov, Phnom Penh",Veal Sbov,Chbar Ampov,Phnom Penh,"Car Parking, Commercial area, Non-Flooding"
245190,"2 Bed, 3 Bath Link House for Sale in Borey Peng Huoth : The Star Platinum Mercurean II",Unit,21/08/2024,6/9/2024,2,3,126,76,N/A,2019,N,"$175,000 ","Nirouth, Chbar Ampov, Phnom Penh",Nirouth,Chbar Ampov,Phnom Penh,"Car Parking, Commercial area, Non-Flooding"
